X,Y,Z,roll,pitch,yaw,img,path,camID
177074.5594,2535817.8307,46.6496,-79.390361405,1.6348197,126.282353196,200721_022612053_Camera_4.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022526/Camera4,4
177076.5247,2535813.4332,46.6418,-79.133863456,1.154516697,121.89552457100001,200721_022613053_Camera_4.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022526/Camera4,4
177077.691,2535809.699,46.6028,-78.216054794,1.5445180090000001,109.118869241,200721_022614053_Camera_4.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022526/Camera4,4
177077.9457,2535805.8221,46.5805,-78.367702868,1.3598718090000002,100.9172948,200721_022615053_Camera_4.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022526/Camera4,4
177077.9927,2535801.8497,46.5443,-78.595326391,1.599891129,109.27165425700001,200721_022616053_Camera_4.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022526/Camera4,4
177078.8635,2535798.1291,46.5342,-78.370881471,1.9446270419999998,127.842280969,200721_022617053_Camera_4.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022526/Camera4,4
177080.9072,2535795.0685,46.5376,-78.764573287,1.9623849359999999,151.891277215,200721_022618053_Camera_4.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022526/Camera4,4
177083.9185,2535793.2048,46.5249,-79.36771777,2.275342921,178.111455788,200721_022619053_Camera_4.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022526/Camera4,4
177087.3083,2535792.8886,46.5362,-79.460477227,2.242128045,-155.955927318,200721_022620053_Camera_4.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022526/Camera4,4
177088.7382,2535807.7979,46.6539,-83.341457371,-5.460300912,134.763146647,200721_022526054_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177086.6803,2535809.4614,46.6967,-82.717327388,-5.343136916000001,124.97131152799999,200721_022527054_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177084.4945,2535812.0182,46.7178,-82.296267432,-5.313998194,115.791162885,200721_022528054_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177082.3558,2535815.4357,46.7504,-81.857305145,-5.154118358,109.32648840700001,200721_022529053_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177080.3283,2535819.4624,46.773,-81.615473248,-4.773215776,106.12075423299999,200721_022530053_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177078.2913,2535823.8977,46.7782,-81.605814114,-4.696927207,105.454979866,200721_022531053_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177076.0893,2535828.8089,46.7848,-81.30466397,-4.918497357,105.38700825,200721_022532053_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177073.6061,2535834.2315,46.7963,-81.899403342,-4.78902935,105.91196920200001,200721_022533053_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
177070.9157,2535839.9889,46.7845,-82.674638043,-4.81786959,106.034669798,200721_022534053_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance058/200721_022528/Camera3,3
